id,fdc_id,nutrient_id,amount,data_points,derivation_id
2202327,320011,1259,0.0,1,1
2202317,320011,1306,17,1,1
2202337,320011,1414,0.0,1,1
2202324,320011,1265,1.16,1,1
2202320,320011,1304,9,1,1
2202339,320012,1009,7.7,1,1
2202342,320013,1004,18.8,1,1
2202340,320013,1007,1.93,1,1
2202341,320013,1002,0.99,1,1
2202343,320013,1051,59.3,1,1
2202344,320014,1177,34.0,1,1
2202349,320015,1091,137.0,1,1
2202352,320015,1087,30.0,1,1
2202350,320015,1101,941,1,1
2202353,320015,1090,65.0,1,1
2202348,320015,1092,239.0,1,1
2202346,320015,1095,1.25,1,1
2202345,320015,1098,281,1,1
2202351,320015,1089,2.24,1,1
2202347,320015,1093,457.0,1,1
2202354,320016,1166,0.08,1,1
2202355,320017,1167,0.82,1,1
2202356,320018,1079,4.9,1,1
2202357,320019,1165,0.16,1,1
2202358,320020,1175,0.16,1,1
2202360,320021,1183,0.0,1,1
2202361,320021,1184,0.0,1,1
2202359,320021,1185,11.2,1,1
2202366,320022,1127,0.26,1,1
2202363,320022,1128,0.0,1,1
2202362,320022,1125,0.33,1,1
2202364,320022,1129,0.0,1,1
2202367,320022,1130,0.0,1,1
2202365,320022,1126,6.32,1,1
2202369,320022,1131,0.0,1,1
2202368,320022,1109,2.89,1,1
2202370,320023,1162,0.0,1,1
2202490,320027,1007,0.67,1,1
2202491,320027,1004,1.8,1,1
2202492,320027,1051,89.1,1,1
2202493,320027,1002,0.54,1,1
2202495,320028,1111,0.0,1,1
2202494,320028,1113,0.0,1,1
2202496,320028,1112,1.2,1,1
2202497,320029,1253,8.0,1,1
2202498,320030,1100,35.2,1,1
2202499,320033,1007,0.68,1,1
2202500,320033,1004,1.91,1,1
2202502,320033,1002,0.58,1,1
2202501,320033,1051,88.4,1,1
2202504,320034,1111,0.0,1,1
2202505,320034,1112,1.1,1,1
2202503,320034,1113,0.0,1,1
2202506,320035,1253,8.0,1,1
2202507,320036,1100,23.1,1,1
2202509,320039,1004,1.92,1,1
2202508,320039,1007,0.63,1,1
2202510,320039,1051,89.0,1,1
2202511,320039,1002,0.53,1,1
2202514,320040,1112,1.3,1,1
2202512,320040,1113,0.0,1,1
2202513,320040,1111,0.0,1,1
2202515,320041,1253,8.0,1,1
2202516,320042,1100,50.5,1,1
2202545,320045,1405,0.0,1,1
2202532,320045,1315,338,1,1
2202538,320045,1404,7,1,1
2202550,320045,2006,0.0,1,1
2202568,320045,2005,0.0,1,1
2202548,320045,1271,3,1,1
2202555,320045,1334,0.0,1,1
2202566,320045,2004,0.0,1,1
2202557,320045,1411,1,1,1
2202537,320045,1321,1,1,1
2202529,320045,1300,0.01,1,1
2202552,320045,2015,0.0,1,1
2202541,320045,1267,2,1,1
2202526,320045,1265,527,1,1
2202540,320045,1276,0.0,1,1
2202518,320045,1335,0.0,1,1
2202556,320045,2021,0.0,1,1
2202572,320045,1257,0.07,1,1
2202560,320045,2007,0.0,1,1
2202525,320045,1333,0.0,1,1
2202517,320045,1262,49,1,1
2202554,320045,1305,0.0,1,1
2202519,320045,1263,58,1,1
2202562,320045,1312,0.0,1,1
2202544,320045,1313,0.0,1,1
2202561,320045,1301,0.0,1,1
2202539,320045,2019,0.0,1,1
2202559,320045,1272,0.0,1,1
2202523,320045,1281,3,1,1
2202524,320045,1299,0.02,1,1
2202528,320045,1303,5,1,1
2202549,320045,1278,1,1,1
2202569,320045,1292,0.39,1,1
2202567,320045,1261,0.02,1,1
2202533,320045,1304,57,1,1
2202547,320045,1406,2,1,1
2202542,320045,2012,2,1,1
2202531,320045,1266,181,1,1
2202570,320045,1293,0.05,1,1
2202530,320045,1323,3,1,1
2202543,320045,2013,0.0,1,1
2202551,320045,1273,1,1,1
2202527,320045,1314,0.03,1,1
2202521,320045,1264,188,1,1
2202520,320045,2008,1,1,1
2202558,320045,1280,1,1,1
2202522,320045,2009,16,1,1
2202565,320045,1260,0.03,1,1
2202563,320045,1259,39,1,1
2202546,320045,1414,0.0,1,1
2202536,320045,1306,5,1,1
2202553,320045,2014,0.0,1,1
2202534,320045,1311,6,1,1
2202535,320045,1316,38,1,1
2202564,320045,2003,0.0,1,1
2202571,320045,1258,1.13,1,1
2202587,320046,1227,0.19,1,1
2202591,320046,1219,0.19,1,1
2202582,320046,1213,0.32,1,1
2202574,320046,1220,0.12,1,1
2202577,320046,1224,0.76,1,1
