fdc_id,data_type,description,food_category_id
320356,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",13
320357,sample_food,"Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)",13
320358,market_acquisition,"Beef, eye of round roast, raw (ER37-R-10)",13
320359,market_acquisition,"Beef, eye of round roast, raw (ER37-R-11)",13
320360,market_acquisition,"Beef, eye of round roast, raw (ER37-R-16)",13
320361,market_acquisition,"Beef, eye of round roast, raw (ER37-R-17)",13
320362,market_acquisition,"Beef, eye of round roast, raw (ER37-R-18)",13
320363,market_acquisition,"Beef, eye of round roast, raw (ER37-R-22)",13
320364,market_acquisition,"Beef, eye of round roast, raw (ER37-R-23)",13
320365,market_acquisition,"Beef, eye of round roast, raw (ER37-R-28)",13
320366,market_acquisition,"Beef, eye of round roast, raw (ER37-R-29)",13
320367,market_acquisition,"Beef, eye of round roast, raw (ER37-R-35)",13
320368,market_acquisition,"Beef, eye of round roast, raw (ER37-R-36)",13
320369,market_acquisition,"Beef, eye of round steak, raw (ES36-R-10) ",13
320370,market_acquisition,"Beef, eye of round steak, raw (ES36-R-11) ",13
320371,market_acquisition,"Beef, eye of round steak, raw (ES36-R-16) ",13
320372,market_acquisition,"Beef, eye of round steak, raw (ES36-R-17) ",13
320373,market_acquisition,"Beef, eye of round steak, raw (ES36-R-18) ",13
320374,market_acquisition,"Beef, eye of round steak, raw (ES36-R-22) ",13
320375,market_acquisition,"Beef, eye of round steak, raw (ES36-R-23) ",13
320376,market_acquisition,"Beef, eye of round steak, raw (ES36-R-28) ",13
320377,market_acquisition,"Beef, eye of round steak, raw (ES36-R-29) ",13
320378,market_acquisition,"Beef, eye of round steak, raw (ES36-R-35) ",13
320379,market_acquisition,"Beef, eye of round steak, raw (ES36-R-36) ",13
320380,sub_sample_food,"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",13
320381,sub_sample_food,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",13
320382,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",13
320383,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",13
320384,sample_food,"Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)",13
320385,sub_sample_food,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",13
320386,sub_sample_food,"FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",13
320387,sub_sample_food,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",13
320388,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",13
320389,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",13
320390,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",13
320391,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",13
320392,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",13
320393,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",13
320394,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",13
320395,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",13
320396,sample_food,"Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)",13
320397,sub_sample_food,"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean",13
320398,sub_sample_food,"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",13
320399,sub_sample_food,"FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean",13
320400,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",13
320401,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",13
320402,sample_food,"Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",13
320403,sub_sample_food,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",13
